Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date,imdb_id,extra_info,tmdb_id,summary,adult,genre_ids,popularity,vote_average,vote_count
Friday the 13th: Part 3,Watched,"August 23, 2024",6.5,6.5,Horror,Max,Neither,Zach,https://www.imdb.com/title/tt0083972/,"August 13, 1982",tt0083972,"{'tmdb_id': 9728, 'summary': ""An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naïve counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason, who stalks them at every turn..."", 'adult': False, 'genre_ids': [27, 53], 'popularity': 40.059, 'vote_average': 5.9, 'vote_count': 1371}",9728,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naïve counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason, who stalks them at every turn...",False,"[27, 53]",40.059,5.9,1371
Scream,Watched,"August 20, 2024",8.0,8.0,"Horror, Thriller",Max,Neither,"Collin, Zach",https://www.imdb.com/title/tt0117571/,"December 20, 1996",tt0117571,"{'tmdb_id': 4232, 'summary': 'A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.', 'adult': False, 'genre_ids': [80, 27, 9648], 'popularity': 130.179, 'vote_average': 7.4, 'vote_count': 6892}",4232,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",False,"[80, 27, 9648]",130.179,7.4,6892
Jay and Silent Bob Strike Back,Watched,"August 18, 2024",6.5,7.0,"Comedy, Stoner",Prime Video,Collin,Collin,https://www.imdb.com/title/tt0261392/,"September 24, 2001",tt0261392,"{'tmdb_id': 2294, 'summary': 'When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.', 'adult': False, 'genre_ids': [35], 'popularity': 13.721, 'vote_average': 6.426, 'vote_count': 1524}",2294,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",False,[35],13.721,6.426,1524
Shark Tale,Watched,"August 16, 2024",7.0,7.0,"Comedy, Family",Peacock,Valerie,Valerie,https://www.imdb.com/title/tt0307453/,"November 5, 2004",tt0307453,"{'tmdb_id': 10555, 'summary': ""Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship."", 'adult': False, 'genre_ids': [16, 28, 35, 10751], 'popularity': 50.514, 'vote_average': 6.03, 'vote_count': 6280}",10555,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",False,"[16, 28, 35, 10751]",50.514,6.03,6280
The Perks of Being a Wallflower,Watched,"August 6, 2024",7.0,7.0,Drama,Youtube,"Collin, Valerie",,https://www.imdb.com/title/tt1659337/,"September 10, 2012",tt1659337,"{'tmdb_id': 84892, 'summary': 'Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.', 'adult': False, 'genre_ids': [18], 'popularity': 40.064, 'vote_average': 7.793, 'vote_count': 10373}",84892,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",False,[18],40.064,7.793,10373
Clerks,Watched,"August 5, 2024",7.0,6.5,"Arthouse, Comedy",Netflix,Collin,Collin,https://www.imdb.com/title/tt0109445/,"January 22, 1994",tt0109445,"{'tmdb_id': 2292, 'summary': 'Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.', 'adult': False, 'genre_ids': [35], 'popularity': 19.484, 'vote_average': 7.4, 'vote_count': 2460}",2292,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",False,[35],19.484,7.4,2460
Deadpool & Wolverine,Watched,"August 4, 2024",8.0,7.5,"Adventure, Comedy",Theater,Neither,"Collin, John, Valerie, Zach",https://www.imdb.com/title/tt6263850/,"July 24, 2024",tt6263850,"{'tmdb_id': 533535, 'summary': 'A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.', 'adult': False, 'genre_ids': [28, 35, 878], 'popularity': 2958.871, 'vote_average': 7.715, 'vote_count': 4659}",533535,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",False,"[28, 35, 878]",2958.871,7.715,4659
Saving Bikini Bottom: The Sandy Cheeks Movie,Watched,"August 3, 2024",6.0,4.5,"Adventure, Comedy, Family",Netflix,Neither,"Collin, Valerie, Yasmin",https://www.imdb.com/title/tt23063732/,"August 2, 2024",tt23063732,"{'tmdb_id': 831815, 'summary': 'When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.', 'adult': False, 'genre_ids': [16, 35, 12, 10751], 'popularity': 340.974, 'vote_average': 6.167, 'vote_count': 12}",831815,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",False,"[16, 35, 12, 10751]",340.974,6.167,12
Mac and Devin Go to High School,Watched,"July 31, 2024",6.5,6.0,"Comedy, Stoner",Youtube,Valerie,"Anna, Collin, Valerie",https://www.imdb.com/title/tt1870425/,"July 3, 2012",tt1870425,"{'tmdb_id': 104859, 'summary': 'A comedy that follows two high school students -- one overachiever struggling to write his valedictorian speech, the other a senior now going on his 15th year of school.', 'adult': False, 'genre_ids': [35], 'popularity': 15.222, 'vote_average': 6.5, 'vote_count': 414}",104859,"A comedy that follows two high school students -- one overachiever struggling to write his valedictorian speech, the other a senior now going on his 15th year of school.",False,[35],15.222,6.5,414
The Disaster Artist,Watched,"July 30, 2024",7.0,8.5,Comedy,Max,"Collin, Valerie","Collin, Valerie",https://www.imdb.com/title/tt3521126/,"December 3, 2017",tt3521126,"{'tmdb_id': 371638, 'summary': 'An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.', 'adult': False, 'genre_ids': [35, 18], 'popularity': 15.945, 'vote_average': 7.112, 'vote_count': 3485}",371638,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",False,"[35, 18]",15.945,7.112,3485
