Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date
Sweeney Todd,Watched,"February 4, 2024",5,8,"Musical, Thriller",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0408236/,"December 3, 2007"
Date Night,Watched,"January 31, 2024",4,6,Comedy,Max,Valerie,Valerie,https://www.imdb.com/title/tt1279935/,"April 6, 2010"
Madea Goes to Jail,Watched,"January 28, 2024",7,6,"Comedy, Drama",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt1142800/,"February 16, 2009"
World’s Greatest Dad,Watched,"January 20, 2024",6,6,Drama,Hulu,Collin,Collin,https://www.imdb.com/title/tt1262981/,"January 18, 2009"
Django Unchained,Watched,"January 20, 2024",7.5,9,Drama,Torrent,Valerie,Collin,https://www.imdb.com/title/tt1853728/,"December 11, 2012"
Donnie Darko,Watched,"January 5, 2024",7.5,7.5,Bizarro,Torrent,Collin,Collin,https://www.imdb.com/title/tt0246578/,"January 19, 2001"
Minions,Watched,"January 3, 2024",6,6,"Comedy, Family",Netflix,Valerie,Valerie,https://www.imdb.com/title/tt2293640/,"June 18, 2015"
Treasure Planet,Watched,"January 2, 2024",6.5,9,"Action, Family",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt0133240/,"November 17, 2002"
Horrible Bosses 2,Watched,"December 30, 2023",6,3,Comedy,Torrent,Collin,Collin,https://www.imdb.com/title/tt2170439/,"November 26, 2014"
Encanto,Watched,"December 28, 2023",7,4,"Family, Musical",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt2953050/,"November 3, 2021"
Submarine,Watched,"December 27, 2023",6,6.5,"Comedy, Drama",Torrent,Collin,Collin,https://www.imdb.com/title/tt1440292/,"January 1, 2011"
Diary of a Mad Black Woman,Watched,"December 26, 2023",8,8,"Comedy, Drama",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0422093/,"February 25, 2005"
Mean Girls,Watched,"December 14, 2023",8,8,Comedy,Torrent,"Collin, Valerie","Collin, Valerie",https://www.imdb.com/title/tt0377092/,"April 30, 2004"
Dreamgirls,Watched,"December 11, 2023",9,9.5,"Drama, Musical",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0443489/,"December 15, 2006"
The Rocker,Watched,"December 8, 2023",5.5,5,"Comedy, Musical",Torrent,Collin,Collin,https://www.imdb.com/title/tt1031969/,"August 20, 2008"
Black is King,Watched,"December 6, 2023",4,6.5,"Bizarro, Musical",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt12607910/,"July 31, 2020"
The 40 Year-Old Virgin,Watched,"November 28, 2023",7.5,6,"Comedy, Stoner",Prime Video,Collin,Collin,https://www.imdb.com/title/tt0405422/,"August 19, 2005"
The Great Muppet Caper,Watched,"November 26, 2023",7.5,7.5,"Comedy, Family",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt0082474/,"June 26, 1981"
Chronicle,Watched,"November 18, 2023",8,8,"Bizarro, Drama",Torrent,Collin,Collin,https://www.imdb.com/title/tt1706593/,"February 1, 2012"
SpongeBob: Sponge Out of Water,Watched,"November 16, 2023",7.5,7,"Comedy, Family",Prime Video,Neither,"Collin, Valerie",https://www.imdb.com/title/tt2279373/,"February 6, 2015"
Prince of Egypt,Watched,"November 16, 2023",7.5,9.5,"Drama, Family",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0120794/,"December 16, 1998"
Big Top Pee Wee,Watched,"November 15, 2023",7.5,7.5,"Comedy, Family",Torrent,Collin,Collin,https://www.imdb.com/title/tt0094744/,"July 22, 1988"
Nacho Libre,Watched,"November 11, 2023",7.5,9,"Comedy, Family",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0457510/,"June 16, 2006"
Coco,Watched,"November 8, 2023",7,8.5,"Family, Musical",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt2380307/,"November 22, 2017"
Whiplash,Watched,"November 7, 2023",9,9,"Drama, Musical",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt2582802/,"October 10, 2014"
Five Nights At Freddy’s,Watched,"November 1, 2023",4.5,5,"Action, Family",Prime Video,Neither,Valerie,https://www.imdb.com/title/tt4589218/,"October 25, 2023"
Wayne’s World,Watched,"October 23, 2023",7.5,7,"Comedy, Stoner",Torrent,"Collin, Valerie",Collin,https://www.imdb.com/title/tt0105793/,"February 14, 1992"
Holes,Watched,"October 21, 2023",8,9,"Comedy, Family",Disney +,"Collin, Valerie",Valerie,https://www.imdb.com/title/tt0311289/,"April 11, 2003"
Don’t Look Up,Watched,"October 18, 2023",8,6,"Comedy, Drama",Netflix,Collin,Collin,https://www.imdb.com/title/tt11286314/,"December 8, 2021"
Corpse Bride,Watched,"October 17, 2023",7,8.5,Musical,Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0121164/,"September 16, 2005"
Liar Liar,Watched,"October 16, 2023",6.5,6.5,Comedy,Netflix,Collin,Collin,https://www.imdb.com/title/tt0119528/,"March 21, 1997"
What We Do In The Shadows,Watched,"October 14, 2023",4,7.5,Comedy,Torrent,Valerie,Valerie,https://www.imdb.com/title/tt3416742/,"February 13, 2015"
Matilda,Watched,"October 13, 2023",8,8,"Comedy, Family",Netflix,Collin,Collin,https://www.imdb.com/title/tt0117008/,"August 2, 1996"
Idiocracy,Watched,"October 10, 2023",7,7.5,Comedy,Prime Video,Collin,Collin,https://www.imdb.com/title/tt0387808/,"September 1, 2006"
Garfield: A Tail of Two Kitties,Watched,"September 27, 2023",3,4,"Comedy, Family",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt0455499/,"June 16, 2006"
The Road To El Dorado,Watched,"September 13, 2023",8,8.5,"Family, Musical",Disney +,"Collin, Valerie","Collin, Valerie",https://www.imdb.com/title/tt0138749/,"March 31, 2000"
Spy Kids 3,Watched,"September 8, 2023",6,6.5,"Comedy, Family",Torrent,"Collin, Valerie",Valerie,https://www.imdb.com/title/tt0338459/,"July 25, 2003"
Horrible Bosses,Watched,"September 6, 2023",6.5,4,Comedy,Torrent,Collin,Collin,https://www.imdb.com/title/tt1499658/,"July 8, 2011"
Ratatouille,Watched,"August 27, 2023",8.5,10,Drama,Disney +,Valerie,Valerie,https://www.imdb.com/title/tt0382932/,"June 27, 2007"
The Jerk,Watched,"August 25, 2023",8.5,,"Classic, Comedy",Torrent,Collin,Collin,https://www.imdb.com/title/tt0079367/,"December 14, 1979"
How to Train Your Dragon,Watched,"August 23, 2023",7,8.5,Action,Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0892769/,"March 18, 2010"
Fruitvale Station,Watched,"August 21, 2023",8.5,8.5,Drama,Torrent,Collin,Collin,https://www.imdb.com/title/tt2334649/,"July 12, 2013"
Spy Kids 2,Watched,"August 19, 2023",7,9,"Comedy, Family",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0287717/,"September 2, 2002"
Once Upon A Time in Hollywood,Watched,"August 15, 2023",8.5,6,Drama,Hulu,Collin,Collin,https://www.imdb.com/title/tt7131622/,"July 22, 2019"
The Girl With the Dragon Tattoo,Watched,"August 9, 2023",8,9.5,"Mystery, Thriller",Torrent,Collin,Collin,https://www.imdb.com/title/tt1568346/,"December 14, 2011"
Nimona,Watched,"August 8, 2023",8.5,9,Action,Netflix,Valerie,Valerie,https://www.imdb.com/title/tt19500164/,"June 23, 2023"
Spy Kids,Watched,"August 6, 2023",5.5,7,"Comedy, Family",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0227538/,"March 30, 2001"
The Wedding Singer,Watched,"August 1, 2023",6,7,"Comedy, Romance",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0120888/,"February 13, 1998"
The Conjuring 2,Not started,,,,Horror,,,,https://www.imdb.com/title/tt3065204/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520conjuring%25202,"June 7, 2016"
Out of My Mind,Not started,,,,,,,,,
Nightmare on Elm Street,Not started,,,,Horror,Max,Neither,,https://www.imdb.com/title/tt0087800/,"November 16, 1984"
Friday the 13th: The Final Chapter,Not started,,,,Horror,Max,Neither,,https://www.imdb.com/title/tt0087298/,"April 13, 1984"
Hellboy,Not started,,,,"Action, Adventure",AMC+,Neither,,https://www.imdb.com/title/tt0167190/,"April 2, 2004"
